ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0139","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8edcd63544e01278.jpg",1024,1024,184958,"aeccf7c1d3414560e3bbec94d6ab599f5d18793519b41631d6ef6485318dd4f8",True,1,1070
"legacy-image-0140","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8effc513fca46c17.png",1024,1024,945346,"7be44da9143b525e826439ef6747a3e603aadc7c8c92f15b3a9b6a6e8f4ebfd8",True,1,1070
"legacy-image-0141","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__91075d77874a97f5.jpg",2200,2200,562435,"31f04f99dabd3094b844eeab3e29e1516f1c2446538e0104e4cf47c96b7053ab",True,1,1070
"legacy-image-0142","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__918718401447f3eb.jpg",1024,1024,185167,"0c785b50d0104eee92dd2436b4665910ca306b0405f1be3f2280ac118dc1ff63",True,1,1070
"legacy-image-0143","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9206d67cb1951531.png",2048,2048,3849907,"3734612c0a380cc7064329c19dc311898bd7b878ec2d7373e0256b747b84ab45",True,1,1070
"legacy-image-0147","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__979839eadedbe9b0.png",1024,1024,567337,"166b984cf51d515b3cf2a3d6484cd16b2e2f83aa49b1b64025d8bc888ad62285",True,1,1070
"legacy-image-0148","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9832f52a2ba74315.png",1024,1024,943616,"4f5a68fca5f817c62509af71f6b7efc7a2aefd45c6568ad0cdfa8da93f013479",True,1,1070
"legacy-image-0149","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__986563eedafd2375.jpg",3000,3000,911039,"0c839cb3e1e6c4648ba7778bf1cf60db5c42c5a54bfe4c56adb5c5bdd09f44d4",True,1,1070
"legacy-image-0150","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__997851fbd402a21b.jpg",2200,2200,563028,"ed5c42e1246d3bdaf795df74a8c0a1ab2f062248e73911145725c28b63a772f1",True,1,1070
"legacy-image-0151","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9a170e187ec8bdd3.jpg",1522,1522,284589,"4327af8f57947812a89778f97d01214869b705e6395a6991bf1d851e9bbf6bc7",True,1,1070
"legacy-image-0152","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9a769a90c445cf85.png",2000,2000,925247,"a0704921d4c902d6e371a6569f29db567cddcdb29187fb2d8934f30027a4938a",True,1,1070
"legacy-image-0153","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9beb1f88fe4cb44e.jpg",2048,2048,256533,"676d1ffaee23c3798644e36e298f79fc12193ec617deddc6b5a9616a9158ea19",True,1,1070
"legacy-image-0154","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9bffdd5d64d90455.png",2200,2200,3266110,"f58c3afb4da622178079374ed64bd21cb35176730543435be4ef19680cdea316",True,4,1070
"legacy-image-0155","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9d1653feddb3d6be.png",1024,1024,601094,"748e59f350cfcb409610e26100f820eb36dbee42107d3735d94065ea3f107a2e",True,1,1070
"legacy-image-0157","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__9fa3eacaa97eb075.jpg",1536,1536,808705,"070e9132bb7062d866aec06b4e47dd059791f2fd330c46a80990d71f55bd3988",True,1,1070
"legacy-image-0158","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a001fb6c459d02b9.png",3000,3000,2592924,"6da3d52ef8042a0d95db00335ee30c0932bfffd11c001dda597646f084a5ff99",True,1,1070
"legacy-image-0159","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a1e17ff2f9beebdd.jpg",2048,2048,380501,"13b0adf0a1cf070d4c9d7605696792db71d7a1e3cc86412933e88039197fa22b",True,1,1070
"legacy-image-0160","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a2255d00c6c09113.jpg",1802,1802,387396,"1526ab5322c2d6c20b14238b58e1c64691376b502955428c70446e4dd30124fc",True,1,1070
"legacy-image-0162","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a28587a196c79e16.jpg",3072,3072,2030163,"3a9560411e177477680dce15c15cd12dd53f309cdd81f3b11b933da04a78d7bc",True,1,1070
"legacy-image-0163","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a3cfaa9135262e74.jpg",2048,2048,450897,"af3b6a66fc6add7d298507bb9450d27cbd9d80397b60469557b9b8f852f280d2",True,1,1070
"legacy-image-0164","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a4c0920136fa57ad.jpg",1522,1522,284456,"8e6af8f6fee8b5d40c6c0c55ade4263ae598987f03dc32bc323b25fb73629594",True,1,1070
